feature,importance
dt__crash_hour,0.0464121424007818
dt__crash_year,0.04077142689706684
num__longitude,0.03298001069255641
dt__crash_dayofweek,0.03292858114027904
dt__crash_month,0.03291560880497858
num__latitude,0.032308492911810316
cat__contributing_factor_vehicle_1_Unsafe Speed,0.030059857046077925
cat__contributing_factor_vehicle_1_Unspecified,0.01838061478724671
cat__zip_code_11207,0.015887555318596983
cat__off_street_name_BROADWAY,0.015443473865763143
cat__contributing_factor_vehicle_1_Driver Inattention/Distraction,0.014294344354872465
cat__on_street_name_BELT PARKWAY                    ,0.012055358650318745
cat__borough_BROOKLYN,0.010365519830811359
cat__contributing_factor_vehicle_1_Failure to Yield Right-of-Way,0.009887519125073851
cat__cross_street_name_772       EDGEWATER ROAD                ,0.009630381696732896
cat__contributing_factor_vehicle_2_Unspecified,0.008461655474941716
cat__borough_QUEENS,0.006752013332079714
cat__contributing_factor_vehicle_1_Following Too Closely,0.0061781471122819434
cat__borough_MANHATTAN,0.005506621646339197
cat__contributing_factor_vehicle_1_Lost Consciousness,0.005481318412522681
cat__contributing_factor_vehicle_1_Traffic Control Disregarded,0.005381336723693864
cat__on_street_name_BELT PARKWAY,0.005140421475599719
cat__borough_BRONX,0.0051324267523052336
cat__contributing_factor_vehicle_1_Backing Unsafely,0.004981039336846147
cat__on_street_name_HENRY HUDSON PARKWAY            ,0.004831935670595056
cat__on_street_name_EAST 58 STREET                  ,0.00466695518751839
cat__contributing_factor_vehicle_1_Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,0.004209394167826175
cat__contributing_factor_vehicle_1_Passing or Lane Usage Improper,0.003844739806445152
cat__contributing_factor_vehicle_1_Passing Too Closely,0.0037685795377066407
cat__cross_street_name_FLATBUSH AVENUE,0.0034670593960576014
cat__contributing_factor_vehicle_1_Alcohol Involvement,0.003428597566633695
cat__on_street_name_MARINE AVENUE,0.003381435069642766
cat__contributing_factor_vehicle_2_Driver Inattention/Distraction,0.003177677848287835
cat__borough_STATEN ISLAND,0.003023778750100195
cat__contributing_factor_vehicle_1_Other Vehicular,0.002912712143358539
cat__zip_code_11218,0.002850240453422489
cat__contributing_factor_vehicle_1_Driver Inexperience,0.002807799321192271
cat__contributing_factor_vehicle_1_Unsafe Lane Changing,0.002681329122001286
cat__on_street_name_WEST SHORE EXPRESSWAY,0.0026215497452990654
cat__zip_code_11236,0.0025991342802022454
cat__on_street_name_PROSPECT EXPRESSWAY EAST        ,0.002593702472025024
cat__contributing_factor_vehicle_1_Turning Improperly,0.002415857877482736
cat__on_street_name_EAST 110 STREET                 ,0.002353595372017078
cat__on_street_name_BROOKLYN QUEENS EXPRESSWAY      ,0.002337584192264508
cat__on_street_name_CORNELIA STREET,0.002207918806622627
cat__on_street_name_GOWANUS EXPY (BQE),0.0021991670485898823
cat__cross_street_name_Utica Avenue,0.0021969709183350837
cat__on_street_name_BROADWAY                        ,0.00209453133624512
cat__off_street_name_WEST END AVENUE,0.0020359661452697244
cat__on_street_name_3 AVENUE,0.0020148018678180853
cat__zip_code_11203,0.001998778674851193
cat__on_street_name_WEST 93 STREET                  ,0.0019981154033998
cat__on_street_name_73 AVENUE,0.0019480984752702126
cat__off_street_name_FOREST HILL ROAD                ,0.0019326693493154805
cat__on_street_name_EAST 219 STREET                 ,0.0019047617501974257
cat__cross_street_name_1700      BUSHWICK AVENUE               ,0.0018964721481245686
cat__on_street_name_LAURELTON PARKWAY,0.0018633356708820691
cat__on_street_name_NORTHERN BOULEVARD,0.001840782155853454
cat__on_street_name_EAST 14 STREET                  ,0.001821698533620255
cat__on_street_name_MAIN STREET                     ,0.0017785678100408738
cat__on_street_name_HENRY HUDSON PARKWAY,0.0017672034214231249
cat__off_street_name_TUNNEL APPROACH STREET,0.0017516203198791685
cat__on_street_name_PARK LANE SOUTH                 ,0.001722929751906535
cat__on_street_name_ROGERS AVENUE,0.001715516786136343
cat__on_street_name_EAST 38 STREET                  ,0.0017026596548845633
cat__on_street_name_WOODHAVEN BOULEVARD,0.0016808687450001621
cat__on_street_name_FLATBUSH AVENUE                 ,0.0016743516066044148
